check_id,location.path,fingerprint,is_ignored,lines,message,category,confidence,impact,likelihood,severity,validation_state,license,cwe,owasp,references,semgrep.dev.rule.url,vulnerability_class,abstract_content_1,sql_str
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,data/static/codefixes/dbSchemaChallenge_1.ts,01b8e724b9b2ca911743bd18718f705749ee2d12329b08125c003a1141def61cecdb34215ced0cd85fd4a0209fa6f4e024c13099eb57a6251a313830acb5172a_0,False,"    models.sequelize.query(""SELECT * FROM Products WHERE ((name LIKE '%""+criteria+""%' OR description LIKE '%""+criteria+""%') AND deletedAt IS NULL) ORDER BY name"")","Detected a sequelize statement that is tainted by user-input. This could lead to SQL injection if the variable is user-controlled and is not properly sanitized. In order to prevent SQL injection, it is recommended to use parameterized queries or prepared statements.",security,HIGH,HIGH,HIGH,ERROR,NO_VALIDATOR,Commons Clause License Condition v1.0[LGPL-2.1-only],CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),A01:2017 - Injection,https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements,https://semgrep.dev/playground/r/w8TAxwx/javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,SQL Injection,,
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,data/static/codefixes/dbSchemaChallenge_1.ts,01b8e724b9b2ca911743bd18718f705749ee2d12329b08125c003a1141def61cecdb34215ced0cd85fd4a0209fa6f4e024c13099eb57a6251a313830acb5172a_0,False,"    models.sequelize.query(""SELECT * FROM Products WHERE ((name LIKE '%""+criteria+""%' OR description LIKE '%""+criteria+""%') AND deletedAt IS NULL) ORDER BY name"")","Detected a sequelize statement that is tainted by user-input. This could lead to SQL injection if the variable is user-controlled and is not properly sanitized. In order to prevent SQL injection, it is recommended to use parameterized queries or prepared statements.",security,HIGH,HIGH,HIGH,ERROR,NO_VALIDATOR,Commons Clause License Condition v1.0[LGPL-2.1-only],CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),A03:2021 - Injection,https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements,https://semgrep.dev/playground/r/w8TAxwx/javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,SQL Injection,,
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,data/static/codefixes/dbSchemaChallenge_1.ts,01b8e724b9b2ca911743bd18718f705749ee2d12329b08125c003a1141def61cecdb34215ced0cd85fd4a0209fa6f4e024c13099eb57a6251a313830acb5172a_0,False,"    models.sequelize.query(""SELECT * FROM Products WHERE ((name LIKE '%""+criteria+""%' OR description LIKE '%""+criteria+""%') AND deletedAt IS NULL) ORDER BY name"")","Detected a sequelize statement that is tainted by user-input. This could lead to SQL injection if the variable is user-controlled and is not properly sanitized. In order to prevent SQL injection, it is recommended to use parameterized queries or prepared statements.",security,HIGH,HIGH,HIGH,ERROR,NO_VALIDATOR,Commons Clause License Condition v1.0[LGPL-2.1-only],CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),A01:2017 - Injection,https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements,https://semgrep.dev/playground/r/w8TAxwx/javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,SQL Injection,,
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,data/static/codefixes/dbSchemaChallenge_1.ts,01b8e724b9b2ca911743bd18718f705749ee2d12329b08125c003a1141def61cecdb34215ced0cd85fd4a0209fa6f4e024c13099eb57a6251a313830acb5172a_0,False,"    models.sequelize.query(""SELECT * FROM Products WHERE ((name LIKE '%""+criteria+""%' OR description LIKE '%""+criteria+""%') AND deletedAt IS NULL) ORDER BY name"")","Detected a sequelize statement that is tainted by user-input. This could lead to SQL injection if the variable is user-controlled and is not properly sanitized. In order to prevent SQL injection, it is recommended to use parameterized queries or prepared statements.",security,HIGH,HIGH,HIGH,ERROR,NO_VALIDATOR,Commons Clause License Condition v1.0[LGPL-2.1-only],CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),A01:2017 - Injection,https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements,https://semgrep.dev/playground/r/w8TAxwx/javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,SQL Injection,,
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,data/static/codefixes/dbSchemaChallenge_1.ts,01b8e724b9b2ca911743bd18718f705749ee2d12329b08125c003a1141def61cecdb34215ced0cd85fd4a0209fa6f4e024c13099eb57a6251a313830acb5172a_0,False,"    models.sequelize.query(""SELECT * FROM Products WHERE ((name LIKE '%""+criteria+""%' OR description LIKE '%""+criteria+""%') AND deletedAt IS NULL) ORDER BY name"")","Detected a sequelize statement that is tainted by user-input. This could lead to SQL injection if the variable is user-controlled and is not properly sanitized. In order to prevent SQL injection, it is recommended to use parameterized queries or prepared statements.",security,HIGH,HIGH,HIGH,ERROR,NO_VALIDATOR,Commons Clause License Condition v1.0[LGPL-2.1-only],CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),A03:2021 - Injection,https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements,https://semgrep.dev/playground/r/w8TAxwx/javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,SQL Injection,,
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,data/static/codefixes/dbSchemaChallenge_1.ts,01b8e724b9b2ca911743bd18718f705749ee2d12329b08125c003a1141def61cecdb34215ced0cd85fd4a0209fa6f4e024c13099eb57a6251a313830acb5172a_0,False,"    models.sequelize.query(""SELECT * FROM Products WHERE ((name LIKE '%""+criteria+""%' OR description LIKE '%""+criteria+""%') AND deletedAt IS NULL) ORDER BY name"")","Detected a sequelize statement that is tainted by user-input. This could lead to SQL injection if the variable is user-controlled and is not properly sanitized. In order to prevent SQL injection, it is recommended to use parameterized queries or prepared statements.",security,HIGH,HIGH,HIGH,ERROR,NO_VALIDATOR,Commons Clause License Condition v1.0[LGPL-2.1-only],CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),A03:2021 - Injection,https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements,https://semgrep.dev/playground/r/w8TAxwx/javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,SQL Injection,,
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,data/static/codefixes/dbSchemaChallenge_1.ts,01b8e724b9b2ca911743bd18718f705749ee2d12329b08125c003a1141def61cecdb34215ced0cd85fd4a0209fa6f4e024c13099eb57a6251a313830acb5172a_0,False,"    models.sequelize.query(""SELECT * FROM Products WHERE ((name LIKE '%""+criteria+""%' OR description LIKE '%""+criteria+""%') AND deletedAt IS NULL) ORDER BY name"")","Detected a sequelize statement that is tainted by user-input. This could lead to SQL injection if the variable is user-controlled and is not properly sanitized. In order to prevent SQL injection, it is recommended to use parameterized queries or prepared statements.",security,HIGH,HIGH,HIGH,ERROR,NO_VALIDATOR,Commons Clause License Condition v1.0[LGPL-2.1-only],CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),A01:2017 - Injection,https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements,https://semgrep.dev/playground/r/w8TAxwx/javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,SQL Injection,,
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,data/static/codefixes/dbSchemaChallenge_1.ts,01b8e724b9b2ca911743bd18718f705749ee2d12329b08125c003a1141def61cecdb34215ced0cd85fd4a0209fa6f4e024c13099eb57a6251a313830acb5172a_0,False,"    models.sequelize.query(""SELECT * FROM Products WHERE ((name LIKE '%""+criteria+""%' OR description LIKE '%""+criteria+""%') AND deletedAt IS NULL) ORDER BY name"")","Detected a sequelize statement that is tainted by user-input. This could lead to SQL injection if the variable is user-controlled and is not properly sanitized. In order to prevent SQL injection, it is recommended to use parameterized queries or prepared statements.",security,HIGH,HIGH,HIGH,ERROR,NO_VALIDATOR,Commons Clause License Condition v1.0[LGPL-2.1-only],CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),A03:2021 - Injection,https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements,https://semgrep.dev/playground/r/w8TAxwx/javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,SQL Injection,,
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,data/static/codefixes/dbSchemaChallenge_1.ts,01b8e724b9b2ca911743bd18718f705749ee2d12329b08125c003a1141def61cecdb34215ced0cd85fd4a0209fa6f4e024c13099eb57a6251a313830acb5172a_0,False,"    models.sequelize.query(""SELECT * FROM Products WHERE ((name LIKE '%""+criteria+""%' OR description LIKE '%""+criteria+""%') AND deletedAt IS NULL) ORDER BY name"")","Detected a sequelize statement that is tainted by user-input. This could lead to SQL injection if the variable is user-controlled and is not properly sanitized. In order to prevent SQL injection, it is recommended to use parameterized queries or prepared statements.",security,HIGH,HIGH,HIGH,ERROR,NO_VALIDATOR,Commons Clause License Condition v1.0[LGPL-2.1-only],CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),A01:2017 - Injection,https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements,https://semgrep.dev/playground/r/w8TAxwx/javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,SQL Injection,,
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,data/static/codefixes/dbSchemaChallenge_1.ts,01b8e724b9b2ca911743bd18718f705749ee2d12329b08125c003a1141def61cecdb34215ced0cd85fd4a0209fa6f4e024c13099eb57a6251a313830acb5172a_0,False,"    models.sequelize.query(""SELECT * FROM Products WHERE ((name LIKE '%""+criteria+""%' OR description LIKE '%""+criteria+""%') AND deletedAt IS NULL) ORDER BY name"")","Detected a sequelize statement that is tainted by user-input. This could lead to SQL injection if the variable is user-controlled and is not properly sanitized. In order to prevent SQL injection, it is recommended to use parameterized queries or prepared statements.",security,HIGH,HIGH,HIGH,ERROR,NO_VALIDATOR,Commons Clause License Condition v1.0[LGPL-2.1-only],CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),A01:2017 - Injection,https://sequelize.org/docs/v6/core-concepts/raw-queries/#replacements,https://semgrep.dev/playground/r/w8TAxwx/javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,SQL Injection,,
